fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality_tier
6.6,0.32,0.45,4.4,0.071,39,145,0.9926,2.93,0.55,11.0,2
9.2,0.45,0.0,1.7,0.094,3,21,0.9938,3.57,0.35,10.4,2
6.5,0.31,0.49,17.6,0.059,42,94,1.0006,3.32,0.44,12.2,3
7.3,0.11,0.33,4.4,0.08,36,149,0.9924,2.91,0.56,9.4,2
6.3,0.35,0.41,32.0,0.07,27,219,0.9935,3.25,0.29,9.7,3
7.8,0.15,0.6,1.8,0.079,1,62,0.998,3.22,0.71,9.6,2
6.8,0.12,0.25,3.7,0.061,38,105,0.9927,3.13,0.55,10.6,2
7.1,0.36,0.32,10.8,0.027,51,170,0.9995,3.34,0.4,11.9,2
11.9,0.33,0.27,1.2,0.172,12,81,0.9956,3.46,0.78,9.4,2
5.5,0.28,0.28,65.8,0.063,44,146,0.993,3.07,0.47,8.9,3
5.5,0.23,0.24,11.8,0.03,48,89,0.9935,3.22,0.3,10.8,3
6.6,0.27,0.05,8.3,0.081,74,187,0.9967,3.18,0.5,11.3,2
7.6,0.17,0.3,14.4,0.039,35,154,0.9945,3.32,0.41,9.8,2
7.9,0.14,0.24,1.8,0.19,8,23,0.9955,3.26,0.61,9.9,2
7.0,0.53,0.36,1.3,0.105,11,41,0.9961,3.28,1.04,10.5,2
7.3,0.28,0.07,7.6,0.033,34,106,0.9972,3.28,0.6,9.7,2
6.5,0.5,0.35,1.2,0.024,23,6,1.0023,3.26,0.45,9.4,2
5.5,0.44,0.39,11.6,0.041,16,180,0.9896,3.29,0.55,11.5,3
6.3,0.13,0.37,17.7,0.036,32,177,0.9934,3.2,0.3,10.6,3
7.5,0.27,0.41,29.8,0.042,44,186,0.9906,2.84,0.5,12.1,2
5.6,0.31,0.43,9.6,0.064,32,134,0.99,3.3,0.77,9.4,3
7.7,0.33,0.4,7.3,0.052,9,166,0.9944,3.4,0.6,9.1,2
6.7,0.21,0.41,7.5,0.039,36,108,0.9961,3.15,0.43,8.1,2
6.8,0.1,0.31,21.1,0.082,39,134,0.9936,3.21,0.61,10.0,2
7.0,0.39,0.31,20.8,0.049,52,142,0.9961,3.24,0.61,10.3,2
7.6,0.13,0.42,17.0,0.091,11,131,0.9876,3.23,0.36,8.0,2
7.7,0.08,0.32,6.2,0.049,5,154,0.9948,3.37,0.65,11.0,2
7.3,0.38,0.33,27.5,0.053,35,113,0.9889,3.19,0.69,11.2,2
6.5,0.51,0.44,1.2,0.029,6,32,0.9992,3.21,0.47,9.9,2
7.6,0.52,0.12,1.6,0.086,9,47,0.9977,3.53,0.81,8.4,2
6.6,0.57,0.3,1.2,0.066,14,72,0.9945,3.17,0.45,11.5,2
7.2,0.34,0.49,27.6,0.058,64,220,0.9945,2.98,0.45,8.5,2
6.7,0.33,0.63,1.8,0.048,45,6,0.9984,3.46,0.64,10.8,2
7.0,0.31,0.33,14.0,0.085,2,135,0.9889,3.21,0.53,10.6,3
6.1,1.08,0.59,1.2,0.092,10,109,0.9987,3.33,0.79,10.4,2
6.8,0.2,0.4,4.3,0.072,35,164,0.9944,3.03,0.44,10.6,2
8.0,0.69,0.16,1.3,0.077,1,62,0.9935,3.39,0.66,10.0,2
8.8,0.13,0.04,1.2,0.149,18,83,0.996,3.24,0.49,10.6,2
7.0,0.27,0.48,13.6,0.083,7,161,0.9952,3.11,0.24,9.7,2
5.3,0.18,0.26,1.2,0.023,26,118,0.9969,3.23,0.54,10.7,2
4.9,0.17,0.5,4.0,0.073,32,207,0.998,3.52,0.53,10.2,2
8.8,0.88,0.04,1.6,0.132,25,62,1.0004,3.33,0.92,10.5,2
7.7,0.38,0.39,23.1,0.015,31,90,0.9965,3.05,0.46,10.7,2
7.5,0.19,0.02,6.3,0.021,27,153,0.9923,3.18,0.35,10.3,2
11.5,0.61,0.26,3.3,0.158,4,24,0.9983,3.41,0.61,13.1,1
5.4,0.21,0.01,11.0,0.017,51,117,0.9958,2.96,0.46,10.7,2
5.9,0.08,0.15,6.6,0.009,26,141,0.987,3.32,0.46,10.5,3
10.9,0.59,0.24,1.2,0.172,20,52,0.9989,3.16,0.81,10.8,2
7.3,0.41,0.23,1.2,0.161,26,89,0.9967,3.04,0.66,10.8,2
7.0,0.25,0.26,3.2,0.041,15,109,0.9925,3.15,0.61,10.7,3
7.4,0.85,0.0,1.6,0.012,20,47,1.0016,3.42,0.4,11.4,3
5.8,0.29,0.06,6.4,0.05,12,8,0.9975,3.33,0.7,10.5,2
6.2,0.35,0.27,1.5,0.028,43,102,0.9954,3.17,0.42,10.6,3
10.3,0.73,0.28,1.7,0.1,31,35,0.9975,3.04,0.66,11.4,3
6.2,0.31,0.35,8.1,0.076,33,123,0.9963,3.26,0.48,10.1,2
6.4,0.11,0.33,3.6,0.055,28,139,0.993,3.18,0.47,10.4,2
10.1,0.81,0.18,1.2,0.128,30,18,1.0013,3.18,0.67,10.8,2
5.9,0.25,0.38,35.9,0.053,18,107,0.9897,3.22,0.34,12.1,2
6.9,0.42,0.43,14.5,0.04,6,154,0.9911,3.22,0.59,10.9,2
6.3,0.11,0.42,20.1,0.044,22,77,0.9936,3.29,0.41,9.6,2
6.0,0.3,0.13,11.2,0.108,29,101,0.9933,3.27,0.39,8.5,2
6.9,0.22,0.18,65.8,0.009,38,141,0.9937,3.1,0.42,9.5,2
9.8,0.52,0.02,8.0,0.069,27,35,0.9926,3.22,0.54,11.1,2
7.3,0.1,0.54,1.7,0.039,37,184,0.9961,3.13,0.39,10.0,2
